context_tokens,prefill_tok_s,prefill_sd,prefill_reps,decode_tok_s,decode_sd,decode_reps,decode_ms_per_token,prefill_wall_s,all_reps_prefill_tok_s,mean_cached_tokens
118,859.7,0.0,1,31.09,0.02,3,32.168,0.14,891.1,32.7
268,1265.7,0.0,1,31.11,0.02,3,32.147,0.21,1392.4,32.7
518,1432.0,0.0,1,31.17,0.02,3,32.082,0.36,1518.0,32.7
1018,1582.2,0.0,1,31.09,0.01,3,32.168,0.64,1637.4,32.7
2043,1632.6,0.0,1,30.99,0.04,3,32.268,1.25,1647.2,32.3
4093,1649.3,0.0,1,30.91,0.04,3,32.355,2.48,1665.0,32.7
8193,1643.3,2.4,3,30.71,0.03,3,32.563,4.99,1643.3,0.0
16393,1595.1,1.0,3,30.42,0.03,3,32.877,10.28,1595.1,0.0
32768,1510.1,1.2,3,29.78,0.01,3,33.583,21.70,1510.1,0.0
65543,1349.1,0.4,3,28.64,0.02,3,34.920,48.58,1349.1,0.0
131068,1117.9,0.2,3,26.65,0.01,3,37.523,117.24,1117.9,0.0
196618,951.4,0.2,3,24.98,0.02,3,40.032,206.65,951.4,0.0
