context_tokens,prefill_tok_s,prefill_sd,prefill_reps,cache_free,mean_cached_tokens,decode_tok_s,decode_sd,decode_reps,decode_ms_per_token,prefill_wall_s,mtp0_decode_tok_s,speedup_vs_mtp0
118,787.9,0.0,1,true,32.7,71.03,2.95,3,14.08,0.15,31.09,2.28
268,1417.2,54.2,3,false,49.0,93.62,3.86,3,10.68,0.15,31.11,3.01
518,1542.6,32.3,3,false,49.0,89.94,3.81,3,11.12,0.30,31.17,2.89
1018,1653.2,18.4,3,false,49.0,78.60,5.77,3,12.72,0.59,31.09,2.53
2043,1645.2,9.3,3,false,49.0,75.49,6.37,3,13.25,1.21,30.99,2.44
4093,1613.5,0.0,1,true,32.7,73.62,0.92,3,13.58,2.54,30.91,2.38
8193,1608.5,0.5,3,true,0.0,72.85,3.03,3,13.73,5.09,30.71,2.37
16393,1575.1,0.8,3,true,0.0,71.59,7.08,3,13.97,10.41,30.42,2.35
32768,1495.9,0.6,3,true,0.0,66.04,4.55,3,15.14,21.90,29.78,2.22
65543,1338.7,1.5,3,true,0.0,56.32,1.74,3,17.75,48.96,28.64,1.97
131068,1111.2,0.5,3,true,0.0,54.91,6.95,3,18.21,117.96,26.65,2.06
196618,946.7,0.1,3,true,0.0,53.68,2.85,3,18.63,207.69,24.98,2.15
